sample_id,category,defect,severity,grade
59e079cc-bb78-4275-ba67-6208859e925f,jeans,tear,0.849,D
e04cd98e-ad4b-4bc7-a116-49311e6dafc6,jeans,tear,0.347,B
421884d9-0317-4d1a-8984-c541f8b1beaf,jeans,tear,0.885,D
ade4a766-9774-46ac-90eb-a5dc9638a17c,jeans,tear,0.947,D
b765c3fa-738f-4ad1-abad-1465b0cfd8aa,jeans,tear,0.667,C
7f4bd678-6d76-49fe-9a08-a77a92e818f8,jeans,tear,0.207,B
92357a9a-b0e7-4b69-8a08-67cccfa6d9ed,jeans,tear,0.505,C
c79308e1-66db-4f70-abeb-80cec5d88813,jeans,tear,0.659,C
6ca67520-40a2-49ad-9860-a72526719ff1,jeans,tear,0.241,B
d8c8f8eb-b3eb-4fbd-8df0-8470fb8def1a,jeans,tear,0.523,C
4dbecbd7-a1c6-434d-8477-d446b31e92b8,jeans,tear,0.932,D
4e0fb467-5ac7-4502-b10d-8cd483a8879e,jeans,tear,0.164,B
434d81d1-c5c8-4ace-9999-59d8024e6ff0,jeans,tear,0.212,B
e31f29ef-755a-48d0-9881-3601e76af50a,jeans,tear,0.494,C
5ad3b338-0456-4bce-8b0a-b53814391ea9,jeans,tear,0.306,B
ea2da525-4e05-45b5-81c2-d802732ecf14,jeans,tear,0.787,D
ffbb8c33-669f-4a7a-adf2-65e957972cfc,jeans,tear,0.492,C
2660d4f8-6979-43ea-addf-a18e94c8e6b3,jeans,tear,0.703,D
f7ffb11a-3876-4384-bd98-bc78ceaea188,jeans,tear,0.133,B
f59128d2-3a33-474f-a281-3611691b87c7,jeans,tear,0.692,C
41c37e43-5a44-4c08-8604-e51200e6f61b,jeans,tear,0.784,D
1d7f3bc8-b5a9-4acf-b256-793f62d7e8a5,jeans,tear,0.209,B
6fb4671d-2387-46de-8703-d602d0115134,jeans,tear,0.184,B
47f785de-17cb-4d8c-9b48-e5b5dde52197,jeans,tear,0.558,C
2b4afb7e-aa8b-44df-b242-cd15111ec8e2,jeans,hole,0.596,C
d73ce608-cac4-4977-84ee-547556e3453f,jeans,hole,0.795,D
bdf679d3-c3e1-420a-9959-cf72e2dc44c2,jeans,hole,0.753,D
5061865b-a662-4c14-9815-b188a1b793fb,jeans,hole,0.597,C
fa54aa48-f0a9-4cd4-9843-d7dd4f1a9330,jeans,hole,0.445,C
5a060ac6-9f65-4d7c-b648-c6996114d6b1,jeans,hole,0.546,C
9979df04-5085-49f5-ad11-d5a6b1bcc3ad,jeans,hole,0.19,B
bc5da650-909e-457f-9c3f-092af23242d6,jeans,hole,0.523,C
977dcf7d-e575-4db2-9876-19b64e1705d2,jeans,hole,0.442,C
55fcc3fc-0512-412e-bbea-fde4152550fb,jeans,hole,0.656,C
786b5373-b934-435f-91ed-5395823a6a2c,jeans,hole,0.981,D
4c0674c7-e8bd-44a5-a4c7-4207bb10a754,jeans,hole,0.817,D
efff0a2c-056e-4b1d-866d-e25e136e5c27,jeans,hole,0.609,C
6d95ae38-21ef-49ff-876b-83993e2a6212,jeans,hole,0.548,C
43af7f13-a995-4820-b1bd-4a5ace8cc4e1,jeans,hole,0.909,D
0ac7f8e2-c019-4bf5-903f-8fcf85de5041,jeans,hole,0.951,D
5a2058c0-a88b-47c8-bb00-f3ae75872be7,jeans,hole,0.279,B
9250b947-1321-4109-acae-173fd538ccdc,jeans,hole,0.617,C
4b4abdca-e682-47b2-b748-55861c5e40aa,jeans,hole,0.609,C
8be9a9c3-c689-40a1-b240-f755a22261f7,jeans,hole,0.822,D
4624b310-b8d3-414e-9a6f-3a52ec913d41,jeans,hole,0.378,B
588e6808-804f-4726-aef3-dc65c8f2c84f,jeans,hole,0.394,B
6e634fd2-6580-4302-af4b-29f7b7110c15,jeans,hole,0.552,C
88e052bd-9d76-46a1-b671-1013366db9d4,jeans,hole,0.824,D
15fd41aa-8e7a-4e8c-bb2a-f6377abe0ef5,jeans,hole,0.971,D
56f09ea1-2c61-4641-97ec-0d470c78bf98,jeans,hole,0.509,C
351f7a0c-765c-4d04-af6e-dc5392de5293,jeans,hole,0.524,C
6463f326-7fc8-4eff-acb4-fc2d91eaa1d1,jeans,hole,0.684,C
61de1510-ecd9-4ef2-8582-608b5386e693,jeans,hole,0.187,B
ebc44968-bceb-42d5-aca9-e8368bd1c570,jeans,hole,0.768,D
7f679d97-24bf-40c3-b59c-fdf0d299adc7,jeans,hole,0.129,B
4dd942f9-e65f-445d-96ca-0af4b089432d,jeans,hole,0.983,D
55cbe233-3d4d-46d8-9992-daf7997d5628,jeans,hole,0.348,B
535377cf-6aab-4969-9185-71c27c828392,jeans,hole,0.974,D
062fa1c2-46a2-4573-8a89-73d3f343a878,jeans,hole,0.285,B
621ddac4-8839-4414-b29d-a612892d8d59,jeans,hole,0.81,D
0fba0016-b1ac-468d-a854-bc8727611e7e,jeans,hole,0.819,D
ee4cd2d9-432f-4033-b061-fc514dc9dec1,jeans,hole,0.63,C
877e53d4-e142-43ea-a823-205d367ec6a7,jeans,hole,0.771,D
c501431f-e1b2-4092-a35e-2e0f2d721a25,jeans,hole,0.299,B
aa6a5074-a105-46db-93ca-9be1703087c0,jeans,fade,0.679,C
ac1ed790-8c59-40bc-a7cf-92e2c8fed20b,jeans,fade,0.155,B
3d45c0aa-a173-477d-a647-f958014a8b2a,jeans,fade,0.863,D
b6909cef-1c24-47b3-a5f0-cb452fbf8dfd,jeans,fade,0.717,D
44402659-f874-48b6-b629-a859fb56bb5b,jeans,fade,0.741,D
d67732b7-e491-4a55-b75a-2e0b30b79da2,jeans,fade,0.166,B
2f5e3f84-4304-46f9-b1ee-1d702f8eafdd,jeans,fade,0.39,B
4b116054-ba35-4ffe-8535-f868cb5bba64,jeans,fade,0.159,B
6e87b966-ed60-4cfc-b0a3-e849c80e0aff,jeans,fade,0.662,C
e00aa525-738c-4421-9851-343003aaba9e,jeans,fade,0.594,C
9f884e27-83f9-44ab-a543-0552e2743696,jeans,fade,0.443,C
d64aeeb0-0226-4990-9c21-696b684a0b9e,jeans,fade,0.578,C
34035fb2-b91e-4b14-af2e-1dc31ebf1eff,jeans,fade,0.555,C
bc1ff511-e7b8-42f8-8f68-17c6d2975907,jeans,fade,0.189,B
1f3070e6-c92c-4cba-a8ab-001414ffca1e,jeans,fade,0.868,D
1257707f-c1ea-4e3f-b965-1ace65579936,jeans,fade,0.749,D
d0c70cb0-0a83-4aa1-a2e0-f0226c2a2749,jeans,fade,0.487,C
407c502a-442a-46a6-9ca4-037af2ca30ff,jeans,fade,0.472,C
3d1cb618-f79a-44a9-b3e5-7be478504c12,jeans,fade,0.459,C
5d0ea6c3-2555-4660-8e3c-eb0ca4d21cbb,jeans,fade,0.381,B
341b3e4d-ed4b-46a1-8098-9dd3cdd36b77,jeans,fade,0.699,C
0ef5deb3-ab53-48b5-929b-be4fd10950e2,jeans,fade,0.958,D
592340e6-af9f-4d73-96b3-8eb27f6fe458,jeans,fade,0.16,B
503516e6-4911-442a-b7d9-7830fc2032e4,jeans,fade,0.184,B
b02bd52e-629a-4e0f-997f-7c2ff4d7b55f,jeans,fade,0.77,D
fb0910a7-3c56-499c-bc80-8128ec2636a1,jeans,fade,0.831,D
64e27bfa-9961-4c04-89c0-845e4a177f6e,jeans,fade,0.154,B
03f5c20f-d35b-44be-ad9f-be5948263662,jeans,fade,0.606,C
f9647639-2623-4ea2-b4ab-44189c1eef5f,jeans,fade,0.47,C
fc0c27c6-4682-4ed7-9f39-b92e790cae73,jeans,fade,0.881,D
d8d59337-ae7e-4e57-a6ca-51e69901b817,jeans,fade,0.972,D
2f679c70-0e36-4856-b2b4-fdcd01b5b0ac,jeans,fade,0.381,B
3a26149b-c35f-4302-9779-b6e672e40c12,jeans,fade,0.62,C
0b3f54af-1eab-4947-91c6-4fc68b02bf8e,jeans,fade,0.239,B
a7519b7f-b2cf-4c40-b9cd-8f0dd287e1c9,jeans,fade,0.302,B
6944da74-02f8-4855-b99a-c15d947c6f9d,jeans,fade,0.415,C
76243e77-3318-49da-b132-69a8e5252afc,jeans,fade,0.431,C
68aafa26-3d76-4eff-b6c3-f6e4341d0817,jeans,fade,0.617,C
2ffc3292-04bb-41df-99cd-17c1f66dc45f,jeans,fade,0.861,D
f9579dde-ae19-4561-ae9e-384d83331674,jeans,fade,0.652,C
b9697110-1bd7-4e6b-a042-4c20bd5a6660,shirt,none,0.0,A
befb259b-da2c-457a-9c44-d1752d6479fd,shirt,none,0.0,A
8f531aeb-ad9f-4a3f-a75c-e56176af2be3,shirt,none,0.0,A
53235408-8fa0-4a71-8895-c4624516ad4b,shirt,none,0.0,A
1efcc6bc-9ad0-4dc4-9b1d-054ace6be54c,shirt,none,0.0,A
f7f723dd-df78-4b14-a658-03c9083f78bf,shirt,none,0.0,A
f4c53fbb-20a3-481c-9487-46b6917e4fa3,shirt,none,0.0,A
323de722-2371-4ce3-bc31-9304cb83e046,shirt,none,0.0,A
5f6fb72a-de32-4d1e-a441-11556f0631c8,shirt,none,0.0,A
f4b1465a-1806-42a0-9365-6fc277509fc6,shirt,none,0.0,A
b7df36fe-e7b5-445c-8db5-d0246767ac96,shirt,none,0.0,A
5caabeb7-e445-4cac-aba0-90a81e952a20,shirt,none,0.0,A
bec6119d-4cac-49af-8046-f2a1aef6d5f1,shirt,none,0.0,A
f06779f4-b2dc-4251-85a0-7d989c3167f4,shirt,none,0.0,A
d9800b57-23a3-4f7a-9210-48e91e3992b7,shirt,none,0.0,A
cc63a75f-200e-43eb-8a7e-e4055676ad46,shirt,none,0.0,A
d870dfaa-a9d8-4de3-9615-1f13da09baa6,shirt,none,0.0,A
bb0849d6-f701-4db5-8b43-98280a73cbe5,shirt,none,0.0,A
d0b82dbf-5e49-4527-ac24-3ae1cca158c9,shirt,none,0.0,A
de9fb3c6-b920-47e1-b3fd-a8603462fa42,shirt,none,0.0,A
9c0fad09-44a5-44de-b7f3-051106bac997,shirt,stain,0.439,C
53a73db1-5bd2-4758-964d-3f568c0228d8,shirt,stain,0.176,B
ea99d037-4d3f-4e25-9e25-fd63bdd85e44,shirt,stain,0.345,B
f8adac59-feac-47d6-8ea0-6561bb16ea9d,shirt,stain,0.202,B
3c92ca9b-5ffb-4a2b-b433-57ba15a96c25,shirt,stain,0.7,D
80bf3618-b20d-4a33-9e7f-a994fe1a2ae2,shirt,stain,0.371,B
738d2780-79e8-4bfb-ad68-d6b6ca6d0b4e,shirt,stain,0.107,B
45cd27ce-a444-4940-9c9e-8648c6c9830b,shirt,stain,0.85,D
ec8952d2-024d-45ba-baf5-f37d6fcbb4bf,shirt,stain,0.514,C
dd3c21d9-eccd-4eeb-aa0b-3366bee98044,shirt,stain,0.204,B
03059993-5647-4e28-a929-15118b6caabf,shirt,stain,0.179,B
1925ee39-6a15-4448-a362-0f69cac7615f,shirt,stain,0.883,D
03fb0b87-652f-486d-8350-fdea04d73d6b,shirt,stain,0.578,C
0b53a860-18f3-4bdd-8ca1-4d29c6b8b2a3,shirt,stain,0.232,B
d77983b6-ce01-4672-b97e-638cdcefa733,shirt,stain,0.956,D
aa98fbb8-96fe-4e40-b529-d7dc49492987,shirt,stain,0.236,B
9e201f62-59a4-427a-8f3c-2058171940c0,shirt,stain,0.417,C
16b27482-f67d-4bb1-bed2-7cbc25455003,shirt,stain,0.169,B
8c86fbb0-4b94-40a6-a6ef-08e116e24353,shirt,stain,0.959,D
3ac50b8e-b6e3-41b6-803c-1f1dd9a982e0,shirt,stain,0.528,C
4ab6891f-f79b-42c1-bb2d-a6b03f61df04,shirt,stain,0.682,C
151b9194-4ba9-4d9d-bffe-b7c776e5bc66,shirt,stain,0.649,C
dd490eca-fe7a-4675-9f82-d7e9c7d900e7,shirt,stain,0.147,B
88eee561-4195-46ba-a30c-7de9e921eb27,shirt,stain,0.327,B
9b9a39bb-c679-4b9a-9fbc-022cf99aef3b,shirt,stain,0.971,D
9eaea96b-5883-4665-9cfc-3b3ca3c8ccb6,shirt,stain,0.439,C
7b837953-4ded-4d2c-b000-f16a61782f84,shirt,stain,0.558,C
a103baea-f956-4d9a-9a37-fe0d535245bf,shirt,stain,0.273,B
86302901-c345-490a-a076-b6c97c4eb761,shirt,stain,0.852,D
2cc8b173-b04c-419b-a6b1-8ea6bda20063,shirt,stain,0.246,B
a1a26cb8-c439-47ca-a0be-e7e61f2f4718,shirt,stain,0.65,C
76eb033a-12dc-4411-8dba-1ba5848d3855,shirt,stain,0.71,D
ec59aefb-e958-46f2-a316-977832504402,shirt,stain,0.477,C
ed712259-7c70-4992-89a6-0e742a724569,shirt,stain,0.677,C
83493827-0a4b-4bde-a130-3c072535d02d,shirt,stain,0.175,B
dbdc5412-6cd2-44ef-9d92-365d255d9457,shirt,stain,0.952,D
d463c154-b6ea-4121-bdcb-cf87a8e03bd4,shirt,stain,0.148,B
c424e881-ab1b-4f5a-9c47-ae4c2787cb04,shirt,stain,0.387,B
27195c3d-22f0-49c3-b41c-5bd1419c4258,shirt,stain,0.358,B
5e1351eb-7721-4052-9ef7-273565178b12,shirt,stain,0.105,B
3e2b8adb-242c-4b0d-add9-73d29bf1d182,shirt,dirt,0.575,C
6d5417d9-c366-4fbb-b22c-fabde72b0e7b,shirt,dirt,0.478,C
b44d6669-354d-4de4-806d-279d189d9064,shirt,dirt,0.115,B
a083cbd5-0d0a-4bd7-96fd-990df850a7d7,shirt,dirt,0.317,B
bc9b4eb4-954e-456a-aeb8-1d8d222796c7,shirt,dirt,0.958,D
6153950d-55a1-4073-9542-dc9043c997af,shirt,dirt,0.773,D
88c3ac76-8f0c-4e40-905a-37c8676fe1ab,shirt,dirt,0.14,B
92706e4c-8cb8-49e7-8092-e6d6e6ff2ad6,shirt,dirt,0.83,D
8bb7ddc3-654f-4bd4-af2c-d437aeaedb5c,shirt,dirt,0.139,B
4f9f9e93-e1bf-443d-94ca-e2716448eb14,shirt,dirt,0.99,D
196f5c56-150f-4b96-a74f-45741a436b11,shirt,dirt,0.876,D
d2a8ea0f-148c-4c9f-8bd5-a235224c143f,shirt,dirt,0.493,C
489abfe2-bf21-4f5a-bad5-e275566a3264,shirt,dirt,0.547,C
8a54bf71-2706-4885-a2c0-e1b63adb6a6c,shirt,dirt,0.171,B
182dd614-bd5c-48db-91c6-7657944baffa,shirt,dirt,0.376,B
adfbdd21-a42d-4458-8fe9-3c406ddada27,shirt,dirt,0.653,C
86b22c97-a090-40e5-8e6f-22bda62b202a,shirt,dirt,0.427,C
d1ebfe2b-c366-4086-8d70-b0043c33ebe3,shirt,dirt,0.161,B
228ac526-66df-4dc7-8ef7-41ff16048fb4,shirt,dirt,0.711,D
5f8c497e-0baf-4db7-a16c-4c571a54ba24,shirt,dirt,0.43,C
4429f4a1-6ab8-4ea2-8644-8a397ca5b822,shirt,dirt,0.549,C
a85cfd59-408b-4762-a859-70195ff443bb,shirt,dirt,0.997,D
d0174529-a39e-4c8f-8ad2-a2c9d3932e7f,shirt,dirt,0.868,D
b0590c62-b68b-4fc1-a044-716887abb36e,shirt,dirt,0.739,D
16dbbf79-0b72-4f07-b434-78bde5ba2e81,shirt,dirt,0.302,B
39aeedf4-c731-4cdb-86ae-50af58a11db0,shirt,dirt,0.599,C
20f69126-181b-4c6a-aa25-432e7cd115b7,shirt,dirt,0.378,B
6e69974c-7f32-4a35-bf33-b5acf7dcf861,shirt,dirt,0.975,D
e252c04e-6864-43cd-82f2-fdd4a2e2a40c,shirt,dirt,0.676,C
002e2d40-7b16-4eda-a999-aaefaada5c48,shirt,dirt,0.566,C
16a220e3-cad1-4c1c-bc16-0788f75411b6,shirt,dirt,0.905,D
03c51352-6117-4775-b2b2-8938f306a23b,shirt,dirt,0.663,C
d66eff9d-e7e0-47c4-a46c-0a01c207d8c4,shirt,dirt,0.749,D
322571d7-8668-49c8-8c19-b3bbfb1304bc,shirt,dirt,0.954,D
e1dedfe9-0ecf-400e-9be1-6c574ffd0424,shirt,dirt,0.9,D
aa1e43de-1870-45f3-99ee-df053f88b4fe,shirt,dirt,0.508,C
75092583-6abd-43ba-83d1-776049676882,shirt,dirt,0.646,C
e628bd29-611c-4ebf-b9ee-f72e825e4e67,shirt,dirt,0.785,D
9dcb8592-dc31-4fbf-bd15-1e5b2f634176,shirt,dirt,0.227,B
d730f3d0-48ab-4218-bc70-eb9571b711a2,shirt,dirt,0.966,D
391faea0-7c5c-49cd-ad4e-68e0d859647f,shirt,tear,0.787,D
90b0199e-8b33-4eab-983b-22b3894d6f2e,shirt,tear,0.121,B
d2e3b566-3cf8-4a86-b76c-59adbf4d4504,shirt,tear,0.144,B
acb9040e-a334-4232-866d-8b8c27489086,shirt,tear,0.583,C
08c9e07c-df26-40d7-82be-0667fd0c2db3,shirt,tear,0.141,B
997bcdea-612b-449e-b4a9-d89a20999e61,shirt,tear,0.448,C
fdfd8522-8d70-47ba-b879-ee7e17467976,shirt,tear,0.455,C
7ecc5488-ce39-4233-b22c-a74ee218f1fd,shirt,tear,0.558,C
47973286-3572-48ea-aad9-074e11b81d32,shirt,tear,0.511,C
f136a1cd-abee-4291-9ffe-b6469c374d9b,shirt,tear,0.765,D
838cb016-8e92-4003-949f-ccf00d2bf95a,shirt,tear,0.738,D
fc6dc556-0325-4eec-b39b-9481a39a124f,shirt,tear,0.625,C
54b5f3f4-afd6-4ffc-955b-c471c1bbc9f3,shirt,tear,0.532,C
b8db3ca9-d7c5-4122-9344-0911e2397dcb,shirt,tear,0.272,B
71c03d10-36b0-469a-b396-67e2302ba9ce,shirt,tear,0.797,D
0dd219b1-22df-44ec-85b0-d41bb9a81e1e,shirt,tear,0.287,B
05d96682-dafa-4bb3-84d2-279a7defb5f7,shirt,tear,0.514,C
14f3662f-28e7-404a-9bb7-b4ce63a7c73a,shirt,tear,0.962,D
d1690bdb-9c8e-439a-8500-7196ba35ecd7,shirt,tear,0.721,D
eb1701dc-3b6a-47b6-bb6f-da42e2fe0073,shirt,tear,0.616,C
0a50e437-7fde-4e36-a169-4c61b72dd4fe,shirt,tear,0.138,B
cf90b3b9-3377-436b-a8a0-043c11910f3a,shirt,tear,0.282,B
dff97e99-6b6e-4899-8100-6595aeed3dff,shirt,tear,0.767,D
003c0cc9-d419-44ce-80be-b1c549627ab5,shirt,tear,0.147,B
937c5c23-d65d-436a-95b5-d74c68673d72,shirt,tear,0.968,D
4f4926ae-709e-404f-8afa-be50d0f6b061,shirt,tear,0.78,D
2e732fd5-de85-44d2-97ca-6f003ecf9ac5,shirt,tear,0.582,C
